Name,Height,Weight,Reach,Stance,Birthday,Nickname
Melvin Guillard,5' 9",155 lbs.,68",Orthodox,Mar 30  1983,The Young Assassin,
Chris Guillen,6' 0",240 lbs.,--,Orthodox,Dec 09  1972,,
Marcelo Guimaraes,6' 0",185 lbs.,73",Orthodox,Jun 25  1983,Magrao,
Leonardo Augusto Leleco,6' 0",185 lbs.,73",Orthodox,Apr 15  1982,Leleco,
Brad Gumm,5' 11",170 lbs.,--,Orthodox,--,,
John Gunderson,5' 9",155 lbs.,69",Orthodox,Jan 05  1979,Quick Guns,
John Gunther,5' 9",155 lbs.,72",Orthodox,Nov 24  1985,The Machine,
Jorge Gurgel,5' 7",155 lbs.,69",Orthodox,Jan 25  1977,,
Fabio Gurgel,6' 0",205 lbs.,--,Orthodox,--,,
Andre Gusmao,6' 0",205 lbs.,--,Orthodox,May 19  1977,,
Alexander Gustafsson,6' 5",205 lbs.,79",Orthodox,Jan 15  1987,The Mauler,
Justin Guthrie,6' 1",170 lbs.,--,,Jan 19  1981,,
Horacio Gutierrez,5' 10",145 lbs.,69",,Sep 15  1990,The Punisher,
Chris Gutierrez,5' 9",145 lbs.,67",Orthodox,Apr 22  1991,El Guapo,
Mike Guymon,6' 0",170 lbs.,74",Orthodox,Sep 17  1974,The Joker,
Keith Hackney,5' 11",200 lbs.,--,Sideways,--,The Giant Killer,
Steve Hadsel,5' 8",170 lbs.,--,,--,,
Damir Hadzovic,5' 9",155 lbs.,70",Orthodox,Aug 08  1986,The Bosnian Bomber,
Tim Hague,6' 4",260 lbs.,76",Orthodox,May 09  1983,The Trashing Machine,
Yazan Hajeh,5' 9",145 lbs.,73",Orthodox,Sep 04  1992,Yazzle Dazzle,
Stoney Hale,6' 0",--,--,,Oct 18  1979,The Skuller,
Kevin Haley,6' 2",205 lbs.,--,,--,The North Woods Nightmare,
Mark Hall,6' 0",190 lbs.,--,Orthodox,--,,
Uriah Hall,6' 0",185 lbs.,79",Orthodox,Jul 31  1984,Prime Time,
Ryan Hall,5' 10",145 lbs.,70",Southpaw,Feb 22  1985,The Wizard,
Dennis Hallman,5' 9",155 lbs.,72",Orthodox,Dec 02  1975,Superman,
Piotr Hallmann,5' 9",155 lbs.,71",Orthodox,Aug 25  1987,Pletwal,
Tony Halme,6' 3",300 lbs.,--,Orthodox,Jan 06  1963,,
Brandon Halsey,6' 0",185 lbs.,--,,Sep 16  1986,Bull,
John Halverson,5' 9",155 lbs.,--,Southpaw,Sep 08  1972,The Hurricane,
Seohee Ham,5' 2",115 lbs.,62",Southpaw,Mar 08  1987,,
Frank Hamaker,--,--,--,,--,,
Kazuhiro Hamanaka,6' 0",185 lbs.,--,Southpaw,Oct 24  1978,,
Matt Hamill,6' 1",205 lbs.,76",Orthodox,Oct 05  1976,The Hammer,
Jeremy Hamilton,--,185 lbs.,--,,Nov 14  1984,Hawk,
Anthony Hamilton,6' 5",260 lbs.,76",Orthodox,Apr 14  1980,Freight Train,
CJ Hamilton,5' 7",125 lbs.,68",Switch,Oct 07  1986,The Autobot,
Jared Hamman,6' 3",185 lbs.,75",Orthodox,Mar 07  1982,The Messenger,
James Hammortree,6' 3",185 lbs.,--,Orthodox,Nov 29  1983,The Sledge,
Dean Hancock,--,155 lbs.,--,,--,The Hammer,
Joachim Hansen,5' 7",150 lbs.,--,Southpaw,May 26  1979,Hellboy,
Nasrat Haqparast,5' 10",155 lbs.,72",Southpaw,Aug 22  1995,,
Janay Harding,--,135 lbs.,--,,--,Hollowpoint,
Antoni Hardonk,6' 4",245 lbs.,78",Orthodox,Feb 05  1976,,
Dan Hardy,6' 0",170 lbs.,74",Orthodox,May 17  1982,The Outlaw,
Greg Hardy,6' 5",265 lbs.,80",Orthodox,Jul 28  1988,Prince of War,
Baru Harn,--,265 lbs.,--,,--,Seiryu,
Scott Harper,6' 0",185 lbs.,--,Orthodox,Apr 14  1972,,
Gerry Harris,6' 8",270 lbs.,--,Orthodox,--,,
Gerald Harris,5' 11",185 lbs.,77",Southpaw,Nov 19  1979,,
Phil Harris,5' 4",125 lbs.,64",Orthodox,Sep 04  1983,Billy,
Walt Harris,6' 5",250 lbs.,77",Southpaw,Jun 10  1983,The Big Ticket,
Dhafir Harris,--,257 lbs.,--,,Aug 04  1977,Dada 5000,
Trevor Harris,5' 6",145 lbs.,--,,--,,
Collin Hart,6' 1",185 lbs.,76",Orthodox,Oct 12  1989,,
Dale Hartt,5' 10",155 lbs.,69",Orthodox,Apr 04  1979,,
Luke Hartwig,--,--,--,,--,,
Clay Harvison,6' 1",170 lbs.,74",Orthodox,Sep 25  1980,Bushwacker,
Hidehiko Hasegawa,5' 9",170 lbs.,--,,Jul 13  1978,,
Chris Haseman,5' 11",205 lbs.,--,Orthodox,Jun 02  1969,The Hammer,
Takayo Hashi,5' 4",135 lbs.,--,Orthodox,Oct 02  1977,,
Tomohiko Hashimoto,6' 0",250 lbs.,--,Orthodox,--,,
Justin Haskins,5' 10",170 lbs.,--,Orthodox,Aug 30  1979,,
Hayder Hassan,5' 10",170 lbs.,70",,Oct 20  1982,Hulk,
Daiki Hata,5' 6",139 lbs.,--,Orthodox,Aug 24  1982,DJ Taiki,
John Hathaway,6' 1",170 lbs.,75",Orthodox,Jul 23  1987,The Hitman,
Phil Hawes,6' 1",185 lbs.,70",Orthodox,Jan 08  1989,Megatron,
Justin Hawes,5' 11",205 lbs.,--,,Jan 13  1979,The Hawk,
Chris Hawk,6' 1",205 lbs.,--,,--,,
Del Hawkins,5' 5",135 lbs.,--,Orthodox,--,The Filipino Delight,
Tommy Hayden,5' 9",145 lbs.,72",Southpaw,Mar 11  1986,Wild Card,
Mike Hayes,6' 4",230 lbs.,--,Orthodox,--,,
Ryan Hayes,--,--,--,,--,,
Gerric Hayes,5' 10",--,--,,--,,
Josh Haynes,5' 9",170 lbs.,--,Orthodox,Jul 30  1977,Bring the Pain,
Dustin Hazelett,6' 1",170 lbs.,76",Orthodox,Apr 29  1986,McLovin,
James Head,6' 1",170 lbs.,73",Orthodox,Feb 09  1984,,
Pat Healy,6' 0",155 lbs.,74",Orthodox,Jul 20  1983,Bam Bam,
Ryan Healy,6' 1",155 lbs.,--,Orthodox,Jul 20  1983,The Irish Assassin,
Spencer Hearns,5' 11",185 lbs.,--,,--,,
David Heath,5' 11",205 lbs.,72",Orthodox,Feb 10  1976,,
Chris Heatherly,5' 9",155 lbs.,68",Orthodox,Nov 24  1987,Stump,
Jake Hecht,6' 0",170 lbs.,76",Orthodox,Feb 09  1984,Hitman,
Nick Hein,5' 6",155 lbs.,66",Southpaw,Apr 24  1984,Sergeant,
Ian Heinisch,5' 11",185 lbs.,72",Orthodox,Aug 05  1988,The Hurricane,
Marcin Held,5' 9",155 lbs.,71",Orthodox,Jan 18  1992,,
Delson Heleno,5' 11",185 lbs.,--,Orthodox,Nov 16  1977,Pe De Chumbo,
Matt Helm,--,155 lbs.,--,,--,,
Elisha Helsper,5' 6",135 lbs.,--,Orthodox,Feb 06  1983,Knuckles,
Dan Henderson,5' 11",185 lbs.,74",Orthodox,Aug 24  1970,Hendo,
Benson Henderson,5' 9",170 lbs.,70",Southpaw,Nov 16  1983,Smooth,
Ron Henderson,5' 10",125 lbs.,--,,--,,
Josh Hendricks,6' 2",235 lbs.,--,Southpaw,Aug 28  1976,,
Johny Hendricks,5' 9",185 lbs.,69",Southpaw,Sep 12  1983,Bigg Rigg,
Cory Hendricks,6' 3",205 lbs.,--,,May 10  1988,,
Luis Henrique,6' 2",243 lbs.,74",Orthodox,Aug 21  1993,KLB,
Paulo Costa,6' 1",185 lbs.,72",Orthodox,Apr 21  1991,The Eraser,
Diego Henrique da Silva,6' 2",185 lbs.,--,Orthodox,Aug 22  1986,Gaucho,
Danny Henry,6' 0",145 lbs.,73",Orthodox,Jul 17  1988,The Hatchet,
TJ Hepburn,5' 7",155 lbs.,--,,--,The Carnivore,
Jai Herbert,6' 1",155 lbs.,--,Orthodox,May 13  1988,Black Country Banger,
Ed Herman,6' 1",205 lbs.,77",Orthodox,Oct 02  1980,Short Fuse,
Dave Herman,6' 4",242 lbs.,76",Orthodox,Oct 03  1984,,
Jack Hermansson,6' 1",185 lbs.,77",Orthodox,Jun 10  1988,The Joker,
Noe Hernandez,--,--,--,Orthodox,--,,
Joe Hernandez,--,--,--,,--,,
Junior Hernandez,5' 9",135 lbs.,69",Orthodox,Jul 22  1986,Hot Handed,
Alexander Hernandez,5' 9",155 lbs.,72",Orthodox,Oct 01  1992,The Great,
Anthony Hernandez,6' 0",185 lbs.,75",Orthodox,Oct 18  1993,Fluffy,
Nohelin Hernandez,5' 10",135 lbs.,71",Orthodox,Mar 01  1994,Suave,
Paul Herrera,5' 10",185 lbs.,--,Orthodox,--,The Bone Crusher,
Chris Herrera,5' 10",185 lbs.,--,,--,The Crusher,
Geane Herrera,5' 5",125 lbs.,66",Orthodox,May 27  1990,The Revolutionary,
Alvaro Herrera,6' 0",155 lbs.,74",Orthodox,May 14  1990,Chango,
Felice Herrig,5' 4",115 lbs.,65",Orthodox,Sep 18  1984,Lil Bulldog,
Heath Herring,6' 4",250 lbs.,78",Orthodox,Mar 02  1978,The Texas Crazy Horse,
Jon Hess,6' 7",295 lbs.,--,,--,,
Clint Hester,6' 2",205 lbs.,77",Orthodox,Nov 21  1986,Headbussa,
Brandon Hester,6' 1",205 lbs.,--,,--,The Beast,
Jimy Hettes,5' 9",145 lbs.,71",Southpaw,Jun 09  1987,The Kid,
Conor Heun,5' 10",155 lbs.,--,Orthodox,Feb 11  1979,Hurricane,
Marcus Hicks,5' 6",155 lbs.,64",Southpaw,Nov 25  1975,The Wrecking Ball,
Jay Hieron,6' 0",170 lbs.,75",Orthodox,Jul 29  1976,The Thoroughbred,
Lee Higgins,--,155 lbs.,--,,Jul 14  1980,,
Jason High,5' 8",155 lbs.,71",Southpaw,Oct 12  1981,The Kansas City Bandit,
Richie Hightower,5' 8",170 lbs.,--,Orthodox,Nov 26  1974,The Dirty Samurai,
Alex Higley,5' 10",145 lbs.,--,,--,,
Corey Hill,6' 4",155 lbs.,80",Orthodox,Oct 03  1978,,
Isaiah Hill,5' 10",155 lbs.,--,,--,,
Angela Hill,5' 3",115 lbs.,64",Orthodox,Jan 12  1985,Overkill,
Tyler Hill,6' 3",170 lbs.,78",Switch,Aug 10  1991,Zombie,
Jamahal Hill,6' 4",205 lbs.,79",Southpaw,May 19  1991,Sweet Dreams,
Kailan Hill,6' 1",185 lbs.,77",Southpaw,Dec 01  1994,,
Branden Lee Hinkle,6' 3",235 lbs.,--,Orthodox,Jul 29  1973,The Iron Lion,
Hatsu Hioki,5' 11",145 lbs.,70",Orthodox,Jul 18  1983,,
Alan Hiro,5' 5",135 lbs.,--,Orthodox,Apr 04  1986,Yamaniha,
Kuniyoshi Hironaka,5' 10",168 lbs.,70",Orthodox,Jun 17  1976,,
Mizuto Hirota,5' 7",155 lbs.,67",Orthodox,May 05  1981,Pugnus,
Yuji Hisamatsu,5' 10",185 lbs.,--,,Sep 18  1971,,
Kwan Ho Kwak,5' 5",135 lbs.,70",Switch,Jun 18  1989,,
Matt Hobar,5' 10",135 lbs.,70",Southpaw,Jan 07  1987,The Crowbar,
Bobby Hoffman,6' 2",245 lbs.,--,Orthodox,Oct 28  1968,The Truth,
Sam Hoger,6' 2",205 lbs.,--,Orthodox,Jun 28  1980,The Alaskan Assassin,
Andrew Holbrook,5' 11",155 lbs.,70",Southpaw,Feb 06  1986,,
Sean Holden,5' 10",170 lbs.,--,,Sep 17  1984,,
Chris Holdsworth,5' 11",135 lbs.,71",,Oct 24  1987,Holds it Down,
Kevin Holland,6' 3",170 lbs.,81",Orthodox,Nov 05  1992,Trailblazer,
Roger Hollett,5' 11",205 lbs.,70",Orthodox,Oct 08  1978,The Hulk,
Max Holloway,5' 11",145 lbs.,69",Orthodox,Dec 04  1991,Blessed,
Gabrielle Holloway,5' 3",145 lbs.,--,,Apr 15  1990,Gabanator,
Jeremie Holloway,6' 0",170 lbs.,--,,Sep 29  1984,Hit Em,
Holly Holm,5' 8",135 lbs.,69",Southpaw,Oct 17  1981,The Preacher's Daughter,
Rex Holman,6' 3",205 lbs.,--,Southpaw,--,Big Dog,
Kurt Holobaugh,5' 11",155 lbs.,70",Orthodox,Sep 08  1986,,
Paddy Holohan,5' 10",125 lbs.,69",Orthodox,May 03  1988,The Hooligan,
Ben Holscher,5' 11",155 lbs.,--,,--,The Teacher,
Mark Holst,6' 0",155 lbs.,--,Orthodox,Aug 14  1985,Boots,
Scott Holtzman,5' 9",155 lbs.,69",Orthodox,Sep 30  1983,Hot Sauce,
Sabah Homasi,6' 0",170 lbs.,72",Orthodox,Oct 19  1988,The Problem,
Mark Hominick,5' 8",145 lbs.,68",Orthodox,Jul 22  1982,The Machine,
Barb Honchak,5' 4",125 lbs.,65",Orthodox,Aug 30  1979,Little Warrior,
Chris Honeycutt,5' 10",170 lbs.,--,,Jul 25  1988,The Cutt,
Satoshi Honma,6' 1",205 lbs.,--,Orthodox,May 19  1968,,
David Hood,6' 0",200 lbs.,--,,--,,
Lorenzo Hood,6' 3",265 lbs.,--,,--,The Samoan Silverback,
Dan Hooker,6' 0",155 lbs.,75",Switch,Feb 13  1990,The Hangman,
Chase Hooper,6' 1",145 lbs.,74",Southpaw,Sep 13  1999,The Dream,
Darrell Horcher,5' 10",155 lbs.,70",Southpaw,Jul 28  1987,The Saint,
Moti Horenstein,6' 4",230 lbs.,--,Orthodox,--,,
Yoshinori Horie,5' 8",145 lbs.,70",Orthodox,May 10  1995,Rising Star,
Kyoji Horiguchi,5' 5",125 lbs.,66",Orthodox,Oct 12  1990,,
Jeremy Horn,6' 1",185 lbs.,74",Orthodox,Aug 25  1975,Gumby,
Matt Horning,5' 4",125 lbs.,--,,--,Horndog,
Chris Horodecki,5' 9",155 lbs.,69",Orthodox,Sep 24  1987,The Polish Hammer,
Matt Horwich,6' 1",185 lbs.,--,Orthodox,Oct 02  1978,Suave,
John Hosman,5' 10",135 lbs.,--,Southpaw,Nov 13  1980,,
Saeed Hosseini,--,--,--,,--,,
Jeff Hougland,5' 7",135 lbs.,68",Orthodox,Aug 02  1978,Hellbound,
Trey Houston,5' 11",185 lbs.,--,,--,,
Jamie Houston,--,185 lbs.,--,,--,,
Brian Houston,6' 2",185 lbs.,78",Orthodox,Apr 26  1981,B-Hue,
Harold Howard,6' 2",240 lbs.,--,Orthodox,--,,
John Howard,5' 7",170 lbs.,71",Orthodox,Mar 01  1983,Doomsday,
Shane Howell,5' 8",125 lbs.,69",Orthodox,Nov 28  1983,,
Carlos Huachin,5' 4",135 lbs.,67",Southpaw,Jun 04  1996,Perro Malo,
Austin Hubbard,5' 10",155 lbs.,71",Orthodox,Dec 22  1991,Thud,
Alex Huddleston,6' 7",254 lbs.,--,,Aug 11  1986,The Shaved Gorilla,
Roger Huerta,5' 9",155 lbs.,70",Orthodox,May 20  1983,El Matador,
Casey Huffman,6' 3",185 lbs.,--,,--,Hellbent,
Matt Hughes,5' 9",170 lbs.,73",Switch,Oct 13  1973,,
Mark Hughes,5' 9",205 lbs.,--,Southpaw,Oct 13  1973,,
Jeff Hughes,6' 2",250 lbs.,77",Orthodox,May 17  1988,Lights Out,
David Hulett,5' 10",170 lbs.,--,,Sep 07  1980,Hollywood,
Bryan Humes,--,265 lbs.,--,,--,,
Abongo Humphrey,5' 11",205 lbs.,--,Orthodox,--,,
Mark Hunt,5' 10",265 lbs.,72",Orthodox,Mar 23  1974,Super Samoan,
Alex Hunter,5' 9",226 lbs.,--,Orthodox,--,,
Adam Hunter,6' 1",185 lbs.,73",Orthodox,Oct 16  1983,Warhammer,
Joe Hurley,5' 8",155 lbs.,--,,Jun 24  1978,,
Solomon Hutcherson,5' 11",185 lbs.,--,Southpaw,Aug 31  1972,King,
Al Iaquinta,5' 10",155 lbs.,70",Orthodox,Apr 30  1987,Raging,
Khadis Ibragimov,6' 3",205 lbs.,78",Orthodox,May 21  1995,,
Minoki Ichihara,5' 7",178 lbs.,--,Orthodox,--,,
Dan Ige,5' 7",145 lbs.,71",Orthodox,Aug 06  1991,Fifty K,
Valeri Ignatov,5' 9",170 lbs.,--,Orthodox,--,,
Sergey Ignatov,5' 9",210 lbs.,--,Orthodox,--,,
Fabiano Iha,5' 8",155 lbs.,--,Orthodox,Jul 28  1970,,
Seichi Ikemoto,5' 11",168 lbs.,--,Orthodox,Aug 24  1975,,
Mikhail Iloukhine,5' 9",205 lbs.,--,Orthodox,Nov 21  1966,,
Zelim Imadaev,6' 0",170 lbs.,76",Orthodox,Jan 25  1995,,
Yusuke Imamura,5' 8",220 lbs.,--,Orthodox,--,,
Masakazu Imanari,5' 4",139 lbs.,--,Southpaw,Feb 10  1976,,
Brad Imes,6' 7",265 lbs.,--,Orthodox,Mar 13  1977,Hillbilly Heartthrob,
Chris Indich,5' 10",170 lbs.,73",,Apr 22  1987,The Savage,
Chris Inman,--,--,--,,--,,
Guto Inocente,6' 3",205 lbs.,77",Orthodox,May 29  1986,,
Enson Inoue,5' 10",210 lbs.,--,Orthodox,Apr 15  1967,Yamato Damashii,
Egan Inoue,5' 9",190 lbs.,--,Southpaw,Jul 04  1965,,
Katsuya Inoue,5' 9",168 lbs.,--,Southpaw,Aug 10  1979,,
Takeshi Inoue,5' 8",145 lbs.,--,,Mar 18  1980,Lion,
Naoki Inoue,5' 9",125 lbs.,71",Orthodox,Jun 14  1997,,
Mizuki Inoue,5' 3",125 lbs.,65",Orthodox,Aug 19  1994,,
Jorge Interiano,6' 1",205 lbs.,--,,--,,
Jason Ireland,5' 9",161 lbs.,--,Southpaw,Dec 30  1979,The Irish Tornado,
James Irvin,6' 2",205 lbs.,75",Orthodox,Sep 12  1978,The Sandman,
Eric Irvin,5' 8",155 lbs.,--,,Jan 10  1986,,
Mitsuhiro Ishida,5' 6",154 lbs.,--,Southpaw,Dec 29  1978,The Endless Warrior,
Teruto Ishihara,5' 7",135 lbs.,69",Southpaw,Jul 23  1991,Yashabo,
Satoshi Ishii,5' 11",240 lbs.,--,Orthodox,Dec 19  1986,,
Yuki Ishikawa,5' 11",205 lbs.,--,Orthodox,--,,
Eiji Ishikawa,5' 10",170 lbs.,--,,Oct 12  1979,,
Tokimitsu Ishizawa,6' 0",185 lbs.,--,Orthodox,Aug 05  1968,Kendo Ka Shin,
Damir Ismagulov,5' 9",155 lbs.,70",Orthodox,Feb 03  1991,,
Wallid Ismail,5' 7",205 lbs.,--,Orthodox,Feb 23  1968,,
Leandro Issa,5' 7",135 lbs.,69",Orthodox,Sep 19  1983,Brodinho,
Oscar Cota,6' 2",230 lbs.,--,Orthodox,Oct 15  1984,Elevation,
Blagoy Ivanov,5' 11",250 lbs.,73",Southpaw,Oct 09  1986,Baga,
Tomomi Iwama,5' 3",155 lbs.,--,Orthodox,--,,
Tatsuya Iwasaki,5' 9",205 lbs.,--,Orthodox,--,,
Yoislandy Izquierdo,5' 11",155 lbs.,--,Southpaw,Jan 09  1984,Cuba,
Hiroshi Izumi,--,205 lbs.,--,Orthodox,Jun 22  1982,,
Yves Jabouin,5' 7",135 lbs.,68",Orthodox,May 30  1979,Tiger,
Kevin Jackson,5' 10",199 lbs.,--,Switch,--,,
Eugene Jackson,5' 8",185 lbs.,--,Orthodox,Sep 23  1966,The Wolf,
Rampage Jackson,6' 1",205 lbs.,73",Orthodox,Jun 20  1978,Rampage,
Jeremy Jackson,5' 10",170 lbs.,--,Orthodox,Sep 19  1982,Scorpion,
Damon Jackson,5' 11",145 lbs.,71",Switch,Aug 08  1988,The Leech,
Kenyon Jackson,6' 0",185 lbs.,--,,--,,
Mike Jackson,6' 2",170 lbs.,--,Orthodox,Mar 22  1985,The Truth,
Jason Jackson,6' 1",170 lbs.,78",Orthodox,Oct 30  1990,Jah-Son,
Montel Jackson,5' 10",135 lbs.,75",Southpaw,Apr 24  1992,Quik,
Eric Jacob,--,155 lbs.,--,,--,,
Dustin Jacoby,6' 4",185 lbs.,78",Orthodox,Apr 04  1988,,
Justin James,5' 10",155 lbs.,--,Orthodox,Nov 08  1976,,
Nate James,6' 0",185 lbs.,--,,May 29  1978,,
Virna Jandiroba,5' 3",115 lbs.,64",Orthodox,May 30  1988,Carcara,
Ryan Janes,6' 3",185 lbs.,76",Orthodox,Aug 22  1981,,
Josh Janousek,5' 11",185 lbs.,73",Orthodox,Sep 25  1980,,
Dave Jansen,5' 9",155 lbs.,73",Orthodox,Aug 21  1979,,
Jaime Jara,6' 1",205 lbs.,--,Southpaw,Aug 02  1969,El Cucui,
Gigo Jara,5' 9",145 lbs.,--,,--,The Little Animal,
Keith Jardine,6' 2",185 lbs.,76",Orthodox,Oct 31  1975,The Dean of Mean,
Brock Jardine,5' 11",170 lbs.,73",Orthodox,Jul 10  1985,The Machine,
Josh Jarvis,--,--,--,,--,,
Rony Jason,5' 7",145 lbs.,70",Orthodox,Mar 21  1984,,
Louis Jauregui,5' 7",170 lbs.,--,,--,,
Joanna Jedrzejczyk,5' 6",115 lbs.,65",Orthodox,Aug 18  1987,,
Aaron Jeffery,6' 2",185 lbs.,74",Orthodox,Nov 14  1992,,
Trent Jenkins,6' 2",185 lbs.,--,,--,,
Bubba Jenkins,5' 7",145 lbs.,--,,Feb 05  1988,The Highlight Kid,
Adrienna Jenkins,5' 8",145 lbs.,--,,Jul 22  1981,AJ,
Steve Jennum,5' 10",215 lbs.,--,Orthodox,--,,
Ryan Jensen,6' 1",185 lbs.,76",Orthodox,Sep 20  1977,,
Kyle Jensen,5' 9",170 lbs.,--,Orthodox,Jul 20  1979,,
Chanmi Jeon,5' 5",115 lbs.,67",Orthodox,Aug 28  1997,Ottogi Girl,
Maciej Jewtuszko,6' 0",155 lbs.,--,Southpaw,Jan 31  1981,Irokez,
Ronald Jhun,5' 11",170 lbs.,--,Orthodox,Sep 21  1970,The Machine Gun,
Gilbert Jimenez,--,155 lbs.,--,,--,,
Art Jimmerson,6' 1",196 lbs.,--,Orthodox,Aug 04  1963,,
Ryan Jimmo,6' 1",205 lbs.,73",Orthodox,Nov 27  1981,The Big Deal,
Sung Bin Jo,6' 0",145 lbs.,72",Orthodox,Jul 17  1992,Korean Falcon,
Carls John De Tomas,5' 5",125 lbs.,71",Southpaw,Aug 28  1996,CJ,
Phil Johns,5' 2",170 lbs.,--,Southpaw,Oct 22  1968,,
Brett Johns,5' 7",135 lbs.,71",Orthodox,Feb 21  1992,The Pikey,
Miles Johns,5' 7",135 lbs.,66",Orthodox,Mar 30  1994,Chapo,
Anthony Johnson,6' 2",205 lbs.,78",Orthodox,Mar 06  1984,Rumble,
DaMarques Johnson,6' 1",170 lbs.,75",Orthodox,Jun 28  1982,Darkness,
Devin Johnson,--,--,--,,--,,
Travis Johnson,--,205 lbs.,--,,--,,
Ricky Johnson,5' 8",145 lbs.,--,Orthodox,--,,
Tony Johnson,6' 2",205 lbs.,76",Orthodox,May 02  1983,,
Lavar Johnson,6' 4",240 lbs.,82",Orthodox,Jun 11  1977,Big,
Demetrious Johnson,5' 3",125 lbs.,66",Orthodox,Aug 13  1986,Mighty Mouse,
Michael Johnson,5' 10",155 lbs.,73",Southpaw,Jun 04  1986,The Menace,
Deshaun Johnson,--,167 lbs.,--,,--,,
Kajan Johnson,5' 11",155 lbs.,75",Orthodox,Apr 21  1984,Ragin',
Dashon Johnson,5' 7",145 lbs.,70",Orthodox,Jan 25  1988,Flyboy,
Tim Johnson,6' 3",265 lbs.,77",Southpaw,Mar 13  1985,,
Tony Johnson,6' 1",265 lbs.,--,,--,,
Jordan Johnson,6' 2",205 lbs.,79",Orthodox,Nov 18  1988,,
Taylor Johnson,6' 0",185 lbs.,74",Switch,Nov 09  1990,Tombstone,
Brian Johnston,6' 3",230 lbs.,--,Orthodox,--,,
Liana Jojua,5' 4",135 lbs.,62",Orthodox,Mar 22  1995,She Wolf,
Daniel Jolly,6' 1",205 lbs.,75",Orthodox,Sep 03  1984,The Werewolf of Texas,
Paul Jones,5' 9",199 lbs.,--,Orthodox,Jun 16  1963,,
Jon Jones,6' 4",205 lbs.,84",Orthodox,Jul 19  1987,Bones,
Nathan Jones,6' 11",345 lbs.,--,Orthodox,Aug 21  1970,,
Marcus Jones,6' 6",265 lbs.,--,Orthodox,Aug 15  1973,The Darkness,
Carlton Jones,6' 1",225 lbs.,--,Orthodox,--,,
Jesse Jones,5' 9",170 lbs.,--,,--,,
Tito Jones,5' 8",145 lbs.,--,Southpaw,Jul 31  1981,,
Roy Jones,--,205 lbs.,--,,Oct 26  1983,,
Justin Jones,5' 11",185 lbs.,78",Orthodox,Sep 06  1987,Lazybones,
Ben Jones,--,185 lbs.,--,,--,Blitzkrieg,
Victor Jones,--,145 lbs.,--,,--,,
Chris Jones,5' 9",149 lbs.,--,,Nov 16  1981,Lionheart,
Roshaun Jones,5' 8",135 lbs.,--,,--,,
Jamelle Jones,6' 0",205 lbs.,75",Orthodox,Jan 31  1988,The Beast,
Antonio Jones,5' 11",185 lbs.,--,Orthodox,Apr 12  1985,Doomsday,
Jocelyn Jones-Lybarger,5' 7",115 lbs.,64",Orthodox,Oct 04  1985,,
Kevin Jordan,6' 3",245 lbs.,--,Orthodox,Dec 31  1970,The Shaman,
Joe Jordan,5' 6",155 lbs.,--,Orthodox,Jul 27  1978,,
Shawn Jordan,6' 0",260 lbs.,75",Southpaw,Oct 21  1984,The Savage,
Ivan Jorge,5' 9",155 lbs.,73",Orthodox,Nov 07  1980,Batman,
Scott Jorgensen,5' 5",135 lbs.,66",Orthodox,Sep 17  1982,Young Guns,
Gareth Joseph,--,205 lbs.,--,,--,,
Dwight Joseph,5' 6",135 lbs.,--,Switch,Aug 16  1989,,
Jeff Joslin,6' 0",170 lbs.,--,Orthodox,Apr 30  1975,The Inferno,
Krzysztof Jotko,6' 1",185 lbs.,77",Southpaw,Aug 19  1989,,
Alan Jouban,6' 0",170 lbs.,73",Southpaw,Nov 25  1981,Brahma,
Charles Jourdain,5' 9",155 lbs.,69",Switch,Nov 27  1995,Air,
Mike Joy,5' 6",155 lbs.,--,Southpaw,Jul 18  1985,,
Dustin Joynson,6' 6",244 lbs.,78",Orthodox,Oct 14  1985,,
Tony Juarez,--,155 lbs.,--,,--,,
Jesse Juarez,6' 1",170 lbs.,--,Orthodox,May 08  1981,,
Steve Judson,5' 11",230 lbs.,--,Orthodox,--,,
Luke Jumeau,5' 11",170 lbs.,72",Orthodox,Feb 12  1988,The Jedi,
Bu-Kyung Jung,5' 7",154 lbs.,--,Orthodox,May 26  1978,,
Chan Sung Jung,5' 7",145 lbs.,72",Orthodox,Mar 17  1987,The Korean Zombie,
Young Sam Jung,5' 8",139 lbs.,--,Orthodox,Oct 27  1985,,
Da-Un Jung,6' 4",205 lbs.,78",Orthodox,Dec 07  1993,Sseda,
Scott Junk,6' 1",265 lbs.,--,Orthodox,Dec 17  1978,,
Myles Jury,5' 10",145 lbs.,73",Orthodox,Oct 31  1988,Fury,
Cris Cyborg,5' 8",145 lbs.,68",Orthodox,Jul 09  1985,Cyborg,
Patrick Kaase,5' 9",185 lbs.,--,,--,Kamikaze,
Emily Peters Kagan,5' 3",115 lbs.,66",,Jul 14  1981,,
Sirwan Kakai,5' 5",135 lbs.,66",Orthodox,Oct 03  1989,Zohan,
Geza Kalman,6' 1",200 lbs.,--,,--,,
Bryson Kamaka,5' 11",170 lbs.,--,Orthodox,--,,
Martin Kampmann,6' 0",170 lbs.,72",Orthodox,Apr 17  1982,The Hitman,
Bharat Kandare,5' 7",135 lbs.,72",Orthodox,Jun 20  1987,Daring,
Hiromitsu Kanehara,5' 10",200 lbs.,--,Orthodox,Oct 05  1970,,
Masanori Kanehara,5' 7",135 lbs.,67",Orthodox,Nov 19  1982,,
